Country or Area,Year,Area,Sex,Age,Marital status,Record Type,Reliability,Source Year,Value,Value Footnotes
Albania,2011,Total,Both Sexes,40 - 44,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,91754,
Albania,2011,Total,Both Sexes,40 - 44,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,3019,
Albania,2011,Total,Both Sexes,40 - 44,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,86135,
Albania,2011,Total,Both Sexes,40 - 44,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1241,
Albania,2011,Total,Both Sexes,40 - 44,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1197,
Albania,2011,Total,Both Sexes,40 - 44,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,162,
Albania,2011,Total,Both Sexes,45 - 49,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,94638,
Albania,2011,Total,Both Sexes,45 - 49,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,1802,
Albania,2011,Total,Both Sexes,45 - 49,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,89692,
Albania,2011,Total,Both Sexes,45 - 49,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1909,
Albania,2011,Total,Both Sexes,45 - 49,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1126,
Albania,2011,Total,Both Sexes,45 - 49,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,109,
Albania,2011,Total,Both Sexes,50 - 54,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,91219,
Albania,2011,Total,Both Sexes,50 - 54,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,1445,
Albania,2011,Total,Both Sexes,50 - 54,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,86325,
Albania,2011,Total,Both Sexes,50 - 54,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,2392,
Albania,2011,Total,Both Sexes,50 - 54,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,957,
Albania,2011,Total,Both Sexes,50 - 54,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,100,
Albania,2011,Total,Both Sexes,55 - 59,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,66922,
Albania,2011,Total,Both Sexes,55 - 59,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,989,
Albania,2011,Total,Both Sexes,55 - 59,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,62747,
Albania,2011,Total,Both Sexes,55 - 59,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,2438,
Albania,2011,Total,Both Sexes,55 - 59,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,685,
Albania,2011,Total,Both Sexes,55 - 59,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,63,
Albania,2011,Total,Both Sexes,60 - 64,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,30216,
Albania,2011,Total,Both Sexes,60 - 64,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,261,
Albania,2011,Total,Both Sexes,60 - 64,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,28853,
Albania,2011,Total,Both Sexes,60 - 64,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,879,
Albania,2011,Total,Both Sexes,60 - 64,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,195,
Albania,2011,Total,Both Sexes,60 - 64,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,28,
Albania,2011,Total,Both Sexes,65 - 69,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,5591,
Albania,2011,Total,Both Sexes,65 - 69,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,114,
Albania,2011,Total,Both Sexes,65 - 69,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,5132,
Albania,2011,Total,Both Sexes,65 - 69,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,298,
Albania,2011,Total,Both Sexes,65 - 69,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,42,
Albania,2011,Total,Both Sexes,65 - 69,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,5,
Albania,2011,Total,Both Sexes,70 - 74,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,2284,
Albania,2011,Total,Both Sexes,70 - 74,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,87,
Albania,2011,Total,Both Sexes,70 - 74,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,1948,
Albania,2011,Total,Both Sexes,70 - 74,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,235,
Albania,2011,Total,Both Sexes,70 - 74,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,13,
Albania,2011,Total,Both Sexes,70 - 74,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,1,
Albania,2011,Total,Both Sexes,75 +,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,1701,
Albania,2011,Total,Both Sexes,75 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,111,
Albania,2011,Total,Both Sexes,75 +,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,1249,
Albania,2011,Total,Both Sexes,75 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,332,
Albania,2011,Total,Both Sexes,75 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,7,
Albania,2011,Total,Both Sexes,75 +,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,2,
Albania,2011,Total,Male,15 - 19,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,10404,
Albania,2011,Total,Male,15 - 19,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,9737,
Albania,2011,Total,Male,15 - 19,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,661,
Albania,2011,Total,Male,15 - 19,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,4,
Albania,2011,Total,Male,15 - 19,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1,
Albania,2011,Total,Male,15 - 19,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,1,
Albania,2011,Total,Male,15 +,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,432778,
Albania,2011,Total,Male,15 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,81302,
Albania,2011,Total,Male,15 +,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,346741,
Albania,2011,Total,Male,15 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,2190,
Albania,2011,Total,Male,15 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,2118,
Albania,2011,Total,Male,15 +,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,427,
Albania,2011,Total,Male,20 - 24,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,35580,
Albania,2011,Total,Male,20 - 24,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,30578,
Albania,2011,Total,Male,20 - 24,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,4966,
Albania,2011,Total,Male,20 - 24,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,4,
Albania,2011,Total,Male,20 - 24,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,19,
Albania,2011,Total,Male,20 - 24,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,13,
Albania,2011,Total,Male,25 - 29,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,45500,
Albania,2011,Total,Male,25 - 29,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,25199,
Albania,2011,Total,Male,25 - 29,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,20168,
Albania,2011,Total,Male,25 - 29,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,17,
Albania,2011,Total,Male,25 - 29,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,82,
Albania,2011,Total,Male,25 - 29,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,34,
Albania,2011,Total,Male,30 - 34,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,42306,
Albania,2011,Total,Male,30 - 34,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,8707,
Albania,2011,Total,Male,30 - 34,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,33329,
Albania,2011,Total,Male,30 - 34,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,22,
Albania,2011,Total,Male,30 - 34,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,192,
Albania,2011,Total,Male,30 - 34,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,56,
Albania,2011,Total,Male,35 - 39,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,46085,
Albania,2011,Total,Male,35 - 39,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,3234,
Albania,2011,Total,Male,35 - 39,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,42449,
Albania,2011,Total,Male,35 - 39,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,51,
Albania,2011,Total,Male,35 - 39,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,287,
Albania,2011,Total,Male,35 - 39,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,64,
Albania,2011,Total,Male,40 - 44,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,55228,
Albania,2011,Total,Male,40 - 44,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,1602,
Albania,2011,Total,Male,40 - 44,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,53067,
Albania,2011,Total,Male,40 - 44,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,114,
Albania,2011,Total,Male,40 - 44,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,363,
Albania,2011,Total,Male,40 - 44,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,82,
Albania,2011,Total,Male,45 - 49,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,59259,
Albania,2011,Total,Male,45 - 49,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,865,
Albania,2011,Total,Male,45 - 49,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,57741,
Albania,2011,Total,Male,45 - 49,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,236,
Albania,2011,Total,Male,45 - 49,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,360,
Albania,2011,Total,Male,45 - 49,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,57,
Albania,2011,Total,Male,50 - 54,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,59169,
Albania,2011,Total,Male,50 - 54,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,609,
Albania,2011,Total,Male,50 - 54,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,57721,
Albania,2011,Total,Male,50 - 54,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,393,
Albania,2011,Total,Male,50 - 54,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,396,
Albania,2011,Total,Male,50 - 54,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,50,
Albania,2011,Total,Male,55 - 59,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,44691,
Albania,2011,Total,Male,55 - 59,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,378,
Albania,2011,Total,Male,55 - 59,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,43531,
Albania,2011,Total,Male,55 - 59,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,501,
Albania,2011,Total,Male,55 - 59,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,240,
Albania,2011,Total,Male,55 - 59,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,41,
Albania,2011,Total,Male,60 - 64,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,27213,
Albania,2011,Total,Male,60 - 64,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,185,
Albania,2011,Total,Male,60 - 64,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,26326,
Albania,2011,Total,Male,60 - 64,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,528,
Albania,2011,Total,Male,60 - 64,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,151,
Albania,2011,Total,Male,60 - 64,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,23,
Albania,2011,Total,Male,65 - 69,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,4586,
Albania,2011,Total,Male,65 - 69,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,78,
Albania,2011,Total,Male,65 - 69,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,4356,
Albania,2011,Total,Male,65 - 69,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,131,
Albania,2011,Total,Male,65 - 69,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,16,
Albania,2011,Total,Male,65 - 69,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,5,
Albania,2011,Total,Male,70 - 74,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,1717,
Albania,2011,Total,Male,70 - 74,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,52,
Albania,2011,Total,Male,70 - 74,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,1555,
Albania,2011,Total,Male,70 - 74,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,102,
Albania,2011,Total,Male,70 - 74,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,8,
Albania,2011,Total,Male,70 - 74,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,0,
Albania,2011,Total,Male,75 +,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,1040,
Albania,2011,Total,Male,75 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,78,
Albania,2011,Total,Male,75 +,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,871,
Albania,2011,Total,Male,75 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,87,
Albania,2011,Total,Male,75 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,3,
Albania,2011,Total,Male,75 +,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,1,
Albania,2011,Total,Female,15 - 19,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,5450,
Albania,2011,Total,Female,15 - 19,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,4608,
Albania,2011,Total,Female,15 - 19,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,825,
Albania,2011,Total,Female,15 - 19,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,7,
Albania,2011,Total,Female,15 - 19,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,9,
Albania,2011,Total,Female,15 - 19,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,1,
Albania,2011,Total,Female,15 +,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,245172,
Albania,2011,Total,Female,15 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,40743,
Albania,2011,Total,Female,15 +,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,190651,
Albania,2011,Total,Female,15 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,8626,
Albania,2011,Total,Female,15 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,4677,
Albania,2011,Total,Female,15 +,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,475,
Albania,2011,Total,Female,20 - 24,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,18924,
Albania,2011,Total,Female,20 - 24,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,12438,
Albania,2011,Total,Female,20 - 24,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,6335,
Albania,2011,Total,Female,20 - 24,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,16,
Albania,2011,Total,Female,20 - 24,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,103,
Albania,2011,Total,Female,20 - 24,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,32,
Albania,2011,Total,Female,25 - 29,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,29704,
Albania,2011,Total,Female,25 - 29,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,12315,
Albania,2011,Total,Female,25 - 29,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,16812,
Albania,2011,Total,Female,25 - 29,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,109,
Albania,2011,Total,Female,25 - 29,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,404,
Albania,2011,Total,Female,25 - 29,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,64,
Albania,2011,Total,Female,30 - 34,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,27874,
Albania,2011,Total,Female,30 - 34,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,4980,
Albania,2011,Total,Female,30 - 34,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,21961,
Albania,2011,Total,Female,30 - 34,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,245,
Albania,2011,Total,Female,30 - 34,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,601,
Albania,2011,Total,Female,30 - 34,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,87,
Albania,2011,Total,Female,35 - 39,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,31798,
Albania,2011,Total,Female,35 - 39,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,2421,
Albania,2011,Total,Female,35 - 39,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,27805,
Albania,2011,Total,Female,35 - 39,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,617,
Albania,2011,Total,Female,35 - 39,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,875,
Albania,2011,Total,Female,35 - 39,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,80,
Albania,2011,Total,Female,40 - 44,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,36526,
Albania,2011,Total,Female,40 - 44,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,1417,
Albania,2011,Total,Female,40 - 44,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,33068,
Albania,2011,Total,Female,40 - 44,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1127,
Albania,2011,Total,Female,40 - 44,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,834,
Albania,2011,Total,Female,40 - 44,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,80,
Albania,2011,Total,Female,45 - 49,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,35379,
Albania,2011,Total,Female,45 - 49,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,937,
Albania,2011,Total,Female,45 - 49,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,31951,
Albania,2011,Total,Female,45 - 49,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1673,
Albania,2011,Total,Female,45 - 49,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,766,
Albania,2011,Total,Female,45 - 49,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,52,
Albania,2011,Total,Female,50 - 54,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,32050,
Albania,2011,Total,Female,50 - 54,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,836,
Albania,2011,Total,Female,50 - 54,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,28604,
Albania,2011,Total,Female,50 - 54,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1999,
Albania,2011,Total,Female,50 - 54,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,561,
Albania,2011,Total,Female,50 - 54,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,50,
Albania,2011,Total,Female,55 - 59,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,22231,
Albania,2011,Total,Female,55 - 59,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,611,
Albania,2011,Total,Female,55 - 59,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,19216,
Albania,2011,Total,Female,55 - 59,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,1937,
Albania,2011,Total,Female,55 - 59,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,445,
Albania,2011,Total,Female,55 - 59,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,22,
Albania,2011,Total,Female,60 - 64,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,3003,
Albania,2011,Total,Female,60 - 64,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,76,
Albania,2011,Total,Female,60 - 64,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,2527,
Albania,2011,Total,Female,60 - 64,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,351,
Albania,2011,Total,Female,60 - 64,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,44,
Albania,2011,Total,Female,60 - 64,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,5,
Albania,2011,Total,Female,65 - 69,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,1005,
Albania,2011,Total,Female,65 - 69,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,36,
Albania,2011,Total,Female,65 - 69,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,776,
Albania,2011,Total,Female,65 - 69,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,167,
Albania,2011,Total,Female,65 - 69,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,26,
Albania,2011,Total,Female,65 - 69,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,0,
Albania,2011,Total,Female,70 - 74,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,567,
Albania,2011,Total,Female,70 - 74,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,35,
Albania,2011,Total,Female,70 - 74,Married,Census - de jure - complete tabulation,"Final figure, complete",2014,393,
Albania,2011,Total,Female,70 - 74,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,133,
Albania,2011,Total,Female,70 - 74,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2014,5,
Albania,2011,Total,Female,70 - 74,Married but separated,Census - de jure - complete tabulation,"Final figure, complete",2014,1,
Albania,2011,Total,Female,75 +,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,661,
Albania,2011,Total,Female,75 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2014,33,
